Name / Purpose,Rating,"<img src=""http://s5.postimg.org/hcrrlhu9z/camera_2.png"" width=""20"" height=""17"" title=""Screenshot"">",Engine,"<img src=""http://s5.postimg.org/5ipco5hc3/DL_WHITE.png"" width=""28"" height=""21"" class=""alignnone"" style=""margin-top: 4px;margin-left: 8px;"" />"
"[title_desc name=""half-life proxy"" desc=""With Half-Life Proxy you can play Half-LIfe via internet over a network-computer. Deprecated"" /]",[kkratings id=314000],"[prev img=""http://s5.postimg.org/4hqszyikn/hlproxy.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!VAJHCCYZ!iCPnfr93KznpBkOYxCZ45A"" /]"
"[title_desc name=""HLDS"" desc=""Half-Life Dedicated Server, A Tool required for running Goldsrc based servers. Deprecated, use Steam CMD instead"" /]",[kkratings id=314001],"[prev img=""http://s5.postimg.org/r7pxsy1s7/u_http_realbot_bots_united_com_screenshots_20.jpg"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!lUBBzZhI!AlPp2MiFTkk08Qtquy5XEQ"" /]"
"[title_desc name=""KHL"" desc=""Map Cycle Generator and Launcher"" /]",[kkratings id=314002],"[prev img=""http://s5.postimg.org/97gqok9l3/khl.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!4UZA3Bob!V569Ka78qk3n7nKmCNEf3A"" /]"
"[title_desc name=""Map Cycler"" desc=""A tool to setup a mapcycle for your server"" /]",[kkratings id=314003],"[prev img=""http://s5.postimg.org/cfptfcl8n/map_cycler.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!RYQkgBSI!23T6Nv8jnYY9whwbmtAzqg"" /]"
"[title_desc name=""Source Mod Dedicated Server Tool"" desc=""Eases the process of setting up a stand alone dedicated server for Source mods"" /]",[kkratings id=314004],"[prev img=""http://s5.postimg.org/ap6sdv3pj/u_http_media_moddb_com_images_downloads_1_22.jpg"" /]",[source],"[mega id=""https://mega.nz/#F!lZIlTSyI!uKlq4C7z-zKcIXE3xK-oZg""  /]"
"[title_desc name=""Steam Game Server Query"" desc=""Queries the steam master server for running game servers [no longer seems to work"" /]",[kkratings id=314005],"[prev img=""http://s5.postimg.org/6bugq7qtj/no_preview.png"" /]",[goldsrc_and_source],"[mega id=""https://mega.nz/#F!NJpV2LSR!zP1BCpjGXv3wFc5HpllGZA""  /]"
"[title_desc name=""SRCDS"" desc=""Source Dedicated Server, A Tool required for running Source based servers. Deprecated, Use SteamCMD instead"" /]",[kkratings id=314006],"[prev img=""http://s5.postimg.org/bsqwptocn/u_http_i_stack_imgur_com_BFJyo_png_f_1.png"" /]",[source],"[mega id=""https://mega.nz/#F!VA4wSLKb!7jvVAdPYAWebKsYD1GHA6A""  /]"
"[title_desc name=""Condenser"" desc=""condenser is a bootstrapper for installing, configuring, & launching Steam dedicated server apps"" /]",[kkratings id=314007],"[prev img=""http://s5.postimg.org/y5nre9g93/cmd_Tool.png"" /]",[goldsrc_and_source],"[mega id=""https://mega.nz/#F!gIwVjDSD!LcXmyiSlwpkc1YyQZExoqg"" /]"
"[title_desc name=""Linux Game Server Manager"" desc=""These are command line tools for quick, simple deployment of various dedicated game servers using SteamCMD."" /]",[kkratings id=314008],"[prev img=""http://s5.postimg.org/y5nre9g93/cmd_Tool.png"" /]",[goldsrc_and_source],"[mega id=""https://mega.nz/#F!EYJhmKbI!hO_bKs_XR6YM6vGYwqPMCQ""  /]"
"[title_desc name=""Steam CMD"" desc=""The Official tool and Successor to HLDS and SRCDS. use this to create your Dedicated servers for Valve Games"" /]",[kkratings id=314009],"[prev img=""http://s5.postimg.org/y5nre9g93/cmd_Tool.png"" /]",[goldsrc_and_source],"[mega id=""https://mega.nz/#F!RZ5SgLTa!ASIJ7G_4rA68f3zPPXW9zQ""  /]"
"[title_desc name=""AutoUpdate"" desc=""Install and automaticly update any game server"" /]",[kkratings id=314010],"[prev img=""http://s5.postimg.org/y5nre9g93/cmd_Tool.png"" /]",[goldsrc_and_source],"[mega id=""https://mega.nz/#F!MQomRIyS!7jdM2PmcCF_KR9xri9vtwA"" /]"
"[title_desc name=""SteamCMD Guardian"" desc=""A script to run with Steam CMD that makes the process easier for setting up dedicated servers"" /]",[kkratings id=314011],"[prev img=""http://s5.postimg.org/y5nre9g93/cmd_Tool.png"" /]",[goldsrc_and_source],"[mega id=""https://mega.nz/#F!0YwCzI7A!2srVvsG8Rq9w5SYHUZrv4A"" /]"
"[title_desc name=""SteamCMD GUI"" desc=""Graphical interface for SteamCMD"" /]",[kkratings id=314012],"[prev img=""http://s5.postimg.org/fmoycpv2f/steamcmdgui.png"" /]",[goldsrc_and_source],"[mega id=""https://mega.nz/#F!dVoGgaYI!98v-jTJAoKw21VUr2f926Q""  /]"
"[title_desc name=""ListIP Manager"" desc=""With this tool you can simply manage your listip.cfg files, such as sort, add, change or delete records."" /]",[kkratings id=314013],"[prev img=""http://s5.postimg.org/5g308r2rr/5478c60a6c9f5.jpg"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!JYAUCZKa!Zv1Porf5iKiahp8Qzv8OXA""  /]"
"[title_desc name=""HLSW"" desc=""HLSW is a game server administration and server browsing tool that allows gamers to not only search for game servers and connect to them easily, but also allows administrators the ability to remotely monitor their server."" /]",[kkratings id=314014],"[prev img=""http://s5.postimg.org/hedre4laf/51a60a5551109.jpg"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!IcpUWDYK!TG1cNHUCxmCkezjuiBeZtQ""  /]"
